year;month;day;MPShock;StockShock;MP_pm;CBI_pm;MP_median;CBI_median
2017;3;1;0;-0.01;0;0;0.00045592;-0.00045592
2017;4;1;-0.25;-0.13;0;-0.25;-0.11907308;-0.13092692
2017;5;1;0;-0.01;0;0;0.00045592;-0.00045592
2017;6;1;0;-0.24;0;0;0.010942;-0.010942
2017;7;1;0;-0.02;0;0;0.00091183;-0.00091183
2017;8;1;0;0.03;0;0;-0.00136775;0.00136775
2017;9;1;0;0.05;0;0;-0.00227958;0.00227958
2017;10;1;-0.25;-0.09;0;-0.25;-0.12089675;-0.12910325
2017;11;1;-0.25;-0.09;0;-0.25;-0.12089675;-0.12910325
2017;12;1;0;-4.44E-16;0;0;0;0
2018;1;1;0;0.05;0;0;-0.00227958;0.00227958
2018;2;1;0;0;0;0;0;0
2018;3;1;0;-0.02;0;0;0.00091183;-0.00091183
2018;4;1;0;0.06;0;0;-0.0027355;0.0027355
2018;5;1;0;0;0;0;0;0
2018;6;1;0;-0.21;0;0;0.00957425;-0.00957425
2018;7;1;0;-0.29;0;0;0.01322158;-0.01322158
2018;8;1;0;0;0;0;0;0
2018;9;1;0;8.88E-16;0;0;0;0
2018;10;1;0;-8.88E-16;0;0;0;0
2018;11;1;0;0;0;0;0;0
2018;12;1;0;0.8;0;0;-0.03647333;0.03647333
2019;1;1;0;0.14;0;0;-0.00638283;0.00638283
2019;2;1;0;0;0;0;0;0
2019;3;1;0;-0.09;0;0;0.00410325;-0.00410325
2019;4;1;0;0.13;0;0;-0.00592692;0.00592692
2019;5;1;0;0;0;0;0;0
2019;6;1;0;0.09;0;0;-0.00410325;0.00410325
2019;7;1;0;0;0;0;0;0
2019;8;1;0;0;0;0;0;0
2019;9;1;0;0.01;0;0;-0.00045592;0.00045592
2019;10;1;0;1.27;0;0;-0.05790141;0.05790141
2019;11;1;0;0;0;0;0;0
2019;12;1;0;1.03;0;0;-0.04695941;0.04695941
2020;1;1;0;-0.19;0;0;0.00866242;-0.00866242
2020;2;1;0;0;0;0;0;0
2020;3;1;-0.25;0.07;-0.25;0;-0.12819142;-0.12180858
2020;4;1;0;0.13;0;0;-0.00592692;0.00592692
2020;5;1;0.02;-0.15;0.02;0;0.01683875;0.00316125
2020;6;1;0.16;0.14;0;0.16;0.07361717;0.08638283
2020;7;1;0;0.17;0;0;-0.00775058;0.00775058
2020;8;1;0;0.1;0;0;-0.00455917;0.00455917
2020;9;1;-0.09;-0.14;0;-0.09;-0.03861717;-0.05138283
2020;10;1;0.03;-0.03;0.03;0;0.01636775;0.01363225
2020;11;1;0;2.22E-16;0;0;0;0
2020;12;1;0;0.13;0;0;-0.00592692;0.00592692
2021;1;1;0;0.01;0;0;-0.00045592;0.00045592
2021;2;1;0;0;0;0;0;0
2021;3;1;0;0.14;0;0;-0.00638283;0.00638283
2021;4;1;0;0.16;0;0;-0.00729467;0.00729467
2021;5;1;0;0;0;0;0;0
2021;6;1;0;0.09;0;0;-0.00410325;0.00410325
2021;7;1;0;0.03;0;0;-0.00136775;0.00136775
2021;8;1;0;0;0;0;0;0
2021;9;1;-0.01;0.04;-0.01;0;-0.00682367;-0.00317633
2021;10;1;0.17;0.16;0;0.17;0.07770533;0.09229467
2021;11;1;0;0;0;0;0;0
2021;12;1;0;0.09;0;0;-0.00410325;0.00410325
2022;1;1;0.25;0.08;0;0.25;0.12135267;0.12864733
2022;2;1;0;0;0;0;0;0
2022;3;1;-0.5;-0.3;0;-0.5;-0.2363225;-0.2636775
2022;4;1;0;0.2;0;0;-0.00911833;0.00911833
2022;5;1;0;0;0;0;0;0
2022;6;1;0;0.01;0;0;-0.00045592;0.00045592
2022;7;1;0;-0.06;0;0;0.0027355;-0.0027355
2022;8;1;0;0;0;0;0;0
2022;9;1;-0.5;-0.17;0;-0.5;-0.24224942;-0.25775058
2022;10;1;0;0.13;0;0;-0.00592692;0.00592692
2022;11;1;0;0;0;0;0;0
2022;12;1;0;1.78E-15;0;0;0;0
2023;1;1;-0.25;0.13;-0.25;0;-0.13092692;-0.11907308
2023;2;1;0;0;0;0;0;0
2023;3;1;0;-0.07;0;0;0.00319142;-0.00319142
2023;4;1;0.25;0.16;0;0.25;0.11770533;0.13229467
2023;5;1;0;0;0;0;0;0
2023;6;1;0;0.16;0;0;-0.00729467;0.00729467
2023;7;1;0;0.07;0;0;-0.00319142;0.00319142
2023;8;1;0;0;0;0;0;0
2023;9;1;0;0.07;0;0;-0.00319142;0.00319142
2023;10;1;0;0.09;0;0;-0.00410325;0.00410325
2023;11;1;0;0;0;0;0;0
